event_start_time,event_title,outcome,selection,price,won,net_payout_per_dollar,price_bucket
2026-06-23T03:00:00Z,Jordan vs. Algeria,team1_win,Jordan,0.14605555555555547,False,-1.0,10-19c
2026-06-23T03:00:00Z,Jordan vs. Algeria,draw,Draw,0.22391666666666657,False,-1.0,20-29c
2026-06-23T03:00:00Z,Jordan vs. Algeria,team2_win,Algeria,0.6395277777777777,True,0.5636537375667812,60-69c
2026-06-23T17:00:00Z,Portugal vs. Uzbekistan,team1_win,Portugal,0.8550000000000001,True,0.16959064327485374,80-89c
2026-06-23T17:00:00Z,Portugal vs. Uzbekistan,draw,Draw,0.1050000000000001,False,-1.0,10-19c
2026-06-23T17:00:00Z,Portugal vs. Uzbekistan,team2_win,Uzbekistan,0.04500000000000007,False,-1.0,0-9c
2026-06-23T20:00:00Z,England vs. Ghana,team1_win,England,0.8284444444444444,False,-1.0,80-89c
2026-06-23T20:00:00Z,England vs. Ghana,draw,Draw,0.12377777777777776,True,7.078994614003591,10-19c
2026-06-23T20:00:00Z,England vs. Ghana,team2_win,Ghana,0.05355555555555551,False,-1.0,0-9c
2026-06-23T23:00:00Z,Panama vs. Croatia,team1_win,Panama,0.11988888888888892,False,-1.0,10-19c
2026-06-23T23:00:00Z,Panama vs. Croatia,draw,Draw,0.20869444444444443,False,-1.0,20-29c
2026-06-23T23:00:00Z,Panama vs. Croatia,team2_win,Croatia,0.6726944444444445,True,0.48655902878143453,60-69c
2026-06-24T02:00:00Z,Colombia vs. DR Congo,team1_win,Colombia,0.6315555555555554,True,0.5833919774806477,60-69c
2026-06-24T02:00:00Z,Colombia vs. DR Congo,draw,Draw,0.235,False,-1.0,20-29c
2026-06-24T02:00:00Z,Colombia vs. DR Congo,team2_win,DR Congo,0.13391666666666663,False,-1.0,10-19c
2026-06-24T19:00:00Z,Switzerland vs. Canada,team1_win,Switzerland,0.41500000000000004,True,1.4096385542168672,40-49c
2026-06-24T19:00:00Z,Switzerland vs. Canada,draw,Draw,0.31499999999999995,False,-1.0,30-39c
2026-06-24T19:00:00Z,Switzerland vs. Canada,team2_win,Canada,0.28500000000000003,False,-1.0,20-29c
2026-06-24T19:00:00Z,Bosnia-Herzegovina vs. Qatar,team1_win,Bosnia-Herzegovina,0.7050000000000001,True,0.41843971631205656,70-79c
2026-06-24T19:00:00Z,Bosnia-Herzegovina vs. Qatar,draw,Draw,0.17500000000000002,False,-1.0,10-19c
2026-06-24T19:00:00Z,Bosnia-Herzegovina vs. Qatar,team2_win,Qatar,0.11499999999999999,False,-1.0,10-19c
2026-06-24T22:00:00Z,Morocco vs. Haiti,team1_win,Morocco,0.825,True,0.21212121212121215,80-89c
2026-06-24T22:00:00Z,Morocco vs. Haiti,draw,Draw,0.125,False,-1.0,10-19c
2026-06-24T22:00:00Z,Morocco vs. Haiti,team2_win,Haiti,0.04500000000000002,False,-1.0,0-9c
2026-06-24T22:00:00Z,Scotland vs. Brazil,team1_win,Scotland,0.09499999999999999,False,-1.0,0-9c
2026-06-24T22:00:00Z,Scotland vs. Brazil,draw,Draw,0.17500000000000002,False,-1.0,10-19c
2026-06-24T22:00:00Z,Scotland vs. Brazil,team2_win,Brazil,0.735,True,0.3605442176870748,70-79c
2026-06-25T01:00:00Z,Czechia vs. Mexico,team1_win,Czechia,0.24272222222222217,False,-1.0,20-29c
2026-06-25T01:00:00Z,Czechia vs. Mexico,draw,Draw,0.2407777777777778,False,-1.0,20-29c
2026-06-25T01:00:00Z,Czechia vs. Mexico,team2_win,Mexico,0.5191111111111111,True,0.9263698630136987,50-59c
2026-06-25T01:00:00Z,South Africa vs. Korea Republic,team1_win,South Africa,0.15755555555555562,True,5.34696755994358,10-19c
2026-06-25T01:00:00Z,South Africa vs. Korea Republic,draw,Draw,0.23944444444444446,False,-1.0,20-29c
2026-06-25T01:00:00Z,South Africa vs. Korea Republic,team2_win,Korea Republic,0.6031666666666666,False,-1.0,60-69c
2026-06-25T20:00:00Z,Ecuador vs. Germany,team1_win,Ecuador,0.19039058171745152,True,4.252360652398481,10-19c
2026-06-25T20:00:00Z,Ecuador vs. Germany,draw,Draw,0.20071952908587257,False,-1.0,20-29c
2026-06-25T20:00:00Z,Ecuador vs. Germany,team2_win,Germany,0.6127195290858725,False,-1.0,60-69c
2026-06-25T20:00:00Z,Curaçao vs. Côte d'Ivoire,team1_win,Curaçao,0.05847783933518004,False,-1.0,0-9c
2026-06-25T20:00:00Z,Curaçao vs. Côte d'Ivoire,draw,Draw,0.11754570637119117,False,-1.0,10-19c
2026-06-25T20:00:00Z,Curaçao vs. Côte d'Ivoire,team2_win,Côte d'Ivoire,0.828264542936288,True,0.2073437267456737,80-89c
2026-06-25T23:00:00Z,Japan vs. Sweden,team1_win,Japan,0.47524930555555556,False,-1.0,40-49c
2026-06-25T23:00:00Z,Japan vs. Sweden,draw,Draw,0.2830194444444445,True,2.53332613581713,20-29c
2026-06-25T23:00:00Z,Japan vs. Sweden,team2_win,Sweden,0.24712083333333335,False,-1.0,20-29c
