match_number,Draw every match,NO Elo underdog,NO Polymarket favorite,NO Polymarket underdog,NO draw every match,NO low-prob overpriced,NO lowest Elo probability,NO most overpriced outcome,NO overpriced draw,YES Elo favorite,YES Elo underdog,YES Polymarket favorite,YES Polymarket underdog,YES draw positive edge,YES favorite positive edge,"YES max edge, prob floor",YES max positive edge
31,2705.310785632373,-516.0855866581243,2485.024261102829,-121.60212060561578,-371.2998934966022,-200.0,-373.1998058902654,-400.0,23.43724088272159,-1153.007473057127,2337.7851672824427,-523.8544443891083,1708.6321386144236,1861.8095873404534,-650.7895718489658,-454.8387096774193,2541.873978363772
32,2605.310785632373,-484.06754419232067,2385.024261102829,-89.5840781398121,-331.37995879257164,-200.0,-333.2798711862349,-400.0,23.43724088272159,-1040.2792333833104,2237.7851672824427,-411.12620471529146,1608.6321386144236,1861.8095873404534,-650.7895718489658,-554.8387096774193,2441.873978363772
33,2505.310785632373,-459.1152690196435,2285.024261102829,-64.63180296713499,-300.66100454420564,-200.0,-308.32759601355775,-400.0,23.43724088272159,-964.4121107648443,2137.7851672824427,-335.2590820968254,1508.6321386144236,1861.8095873404534,-650.7895718489658,-554.8387096774193,2341.873978363772
34,2405.310785632373,-442.51985510592414,2185.024261102829,-48.03638905341562,-275.6913791059441,-200.0,-291.7321820998384,-400.0,23.43724088272159,-913.923021223836,2037.7851672824427,-284.7699925558171,1408.6321386144236,1761.8095873404534,-650.7895718489658,-654.8387096774193,2241.873978363772
35,3277.49550072824,-437.1392995747622,2738.026256386703,-42.655833522253715,-375.69137910594407,-200.0,-286.35162656867647,-400.0,23.43724088272159,-1013.923021223836,1937.7851672824427,-384.7699925558171,1308.6321386144236,2633.99430243632,-650.7895718489658,-654.8387096774193,3114.058693459639
36,3177.49550072824,-537.1392995747623,2947.384338366595,-142.65583352225372,-348.92188829673216,-200.0,-386.35162656867647,-400.0,23.43724088272159,-1113.923021223836,2694.9280244252996,-484.7699925558171,2065.7749957572805,2633.99430243632,-650.7895718489658,-654.8387096774193,3014.058693459639
37,3077.49550072824,-533.2826102663757,2847.384338366595,-138.79914421386715,-340.8137801886241,-200.0,-382.49493726028993,-400.0,23.43724088272159,-1101.6055371354796,2594.9280244252996,-472.4525084674607,1965.7749957572805,2533.99430243632,-650.7895718489658,-654.8387096774193,2914.058693459639
38,3488.568754561289,-520.0786229703787,3071.300120263302,-125.59515691787016,-440.8137801886241,-200.0,-369.29094996429296,-400.0,23.43724088272159,-1201.6055371354796,2494.9280244252996,-572.4525084674607,1865.7749957572805,2945.0675562693696,-650.7895718489658,-243.76545584437008,2814.058693459639
39,3847.167480675939,-509.11135831345246,3292.4992637322525,-114.62789226094395,-540.8137801886242,-200.0,-358.32368530736676,-400.0,23.43724088272159,-1301.6055371354796,2394.9280244252996,-672.4525084674607,1765.7749957572805,2945.0675562693696,-650.7895718489658,-243.76545584437008,2714.058693459639
40,3747.167480675939,-609.1113583134525,3451.0456584464155,-214.62789226094395,-510.0378429610739,-200.0,-458.32368530736676,-400.0,23.43724088272159,-1401.6055371354796,2935.839543029537,-772.4525084674607,2306.6865143615178,2845.0675562693696,-650.7895718489658,-343.7654558443701,3254.9702120638767
41,3647.167480675939,-596.2869882495187,3351.0456584464155,-201.80352219701012,-482.73939883094664,-200.0,-445.49931524343293,-400.0,23.43724088272159,-1353.5913935617605,2835.839543029537,-724.4383648937414,2206.6865143615178,2845.0675562693696,-650.7895718489658,-343.7654558443701,3154.9702120638767
42,3547.167480675939,-593.6708467304577,3251.0456584464155,-199.18738067794916,-474.9033096864463,-200.0,-442.88317372437194,-400.0,23.43724088272159,-1343.3243021625935,2735.839543029537,-714.1712734945745,2106.6865143615178,2745.0675562693696,-650.7895718489658,-343.7654558443701,3054.9702120638767
43,3447.167480675939,-549.2317518821188,3151.0456584464155,-159.64167946080056,-435.3576084692977,-200.0,-398.444078876033,-400.0,23.43724088272159,-1201.8108176597086,2635.839543029537,-572.6577889916898,2006.686514361518,2745.0675562693696,-509.2760873460811,-202.2519713414853,3196.4836965667614
44,3347.167480675939,-649.2317518821188,3328.459544552603,-259.64167946080056,-406.5054663024342,-200.0,-498.444078876033,-400.0,23.43724088272159,-1301.8108176597086,3220.5105205875443,-672.6577889916898,2591.3574919195253,2645.0675562693696,-509.2760873460811,382.419006216522,3781.1546741247685
45,3247.167480675939,-644.519709997302,3228.459544552603,-254.9296375759838,-394.77362272701515,-200.0,-493.73203699121626,-400.0,23.43724088272159,-1284.8517533322233,3120.5105205875443,-655.6987246642044,2491.3574919195253,2545.0675562693696,-509.2760873460811,382.419006216522,3681.1546741247685
46,3955.066942076298,-638.8611046908921,3711.3610989567483,-249.27103226957388,-494.77362272701515,-200.0,-488.07343168480634,-400.0,23.43724088272159,-1384.8517533322233,3020.5105205875443,-755.6987246642044,2391.3574919195253,3252.9670176697286,-509.2760873460811,382.419006216522,4389.054135525128
