strategy,match_number,event_start_time,event_title,actual_outcome,selection_outcome,selection,bet_placed,pnl,cumulative_pnl
NO draw every match,44,2026-06-23T03:00:00Z,Jordan vs. Algeria,team1_win,draw,NO Draw,True,28.852142166863494,-406.5054663024342
NO draw every match,45,2026-06-23T17:00:00Z,Portugal vs. Uzbekistan,team1_win,draw,NO Draw,True,11.73184357541901,-394.77362272701515
NO draw every match,46,2026-06-23T20:00:00Z,England vs. Ghana,draw,draw,NO Draw,True,-100.0,-494.77362272701515
NO draw every match,47,2026-06-23T23:00:00Z,Panama vs. Croatia,team1_win,draw,NO Draw,True,26.373433495980624,-468.4001892310345
NO draw every match,48,2026-06-24T02:00:00Z,Colombia vs. DR Congo,team1_win,draw,NO Draw,True,30.718954248366014,-437.6812349826685
NO Elo underdog,1,2026-06-11T19:00:00Z,Mexico vs. South Africa,team1_win,team2_win,NO South Africa,True,11.73184357541901,11.73184357541901
NO Elo underdog,2,2026-06-12T02:00:00Z,Korea Republic vs. Czechia,team1_win,team2_win,NO Czechia,True,46.228522685730496,57.9603662611495
NO Elo underdog,3,2026-06-12T19:00:00Z,Canada vs. Bosnia-Herzegovina,draw,team2_win,NO Bosnia-Herzegovina,True,24.13793103448276,82.09829729563226
NO Elo underdog,4,2026-06-13T01:00:00Z,United States vs. Paraguay,team1_win,team1_win,NO United States,True,-100.0,-17.901702704367736
NO Elo underdog,5,2026-06-13T19:00:00Z,Qatar vs. Switzerland,draw,team1_win,NO Qatar,True,6.385650939813803,-11.516051764553932
NO Elo underdog,6,2026-06-13T22:00:00Z,Brazil vs. Morocco,draw,team2_win,NO Morocco,True,19.760479041916177,8.244427277362245
NO Elo underdog,7,2026-06-14T01:00:00Z,Haiti vs. Scotland,team1_win,team1_win,NO Haiti,True,-100.0,-91.75557272263775
NO Elo underdog,8,2026-06-14T04:00:00Z,Australia vs. Türkiye,team1_win,team1_win,NO Australia,True,-100.0,-191.75557272263774
NO Elo underdog,9,2026-06-14T17:00:00Z,Germany vs. Curaçao,team1_win,team2_win,NO Curaçao,True,2.194339569080528,-189.56123315355723
NO Elo underdog,10,2026-06-14T20:00:00Z,Netherlands vs. Japan,draw,team2_win,NO Japan,True,34.39354910964274,-155.16768404391448
NO Elo underdog,11,2026-06-14T23:00:00Z,Côte d'Ivoire vs. Ecuador,team1_win,team1_win,NO Côte d'Ivoire,True,-100.0,-255.16768404391448
NO Elo underdog,12,2026-06-15T02:00:00Z,Sweden vs. Tunisia,team1_win,team2_win,NO Tunisia,True,26.13875262789067,-229.0289314160238
NO Elo underdog,13,2026-06-15T16:00:00Z,Spain vs. Cabo Verde,draw,team2_win,NO Cabo Verde,True,2.5842687023944766,-226.44466271362933
NO Elo underdog,14,2026-06-15T19:00:00Z,Belgium vs. Egypt,draw,team2_win,NO Egypt,True,17.79333813232118,-208.65132458130816
NO Elo underdog,15,2026-06-15T22:00:00Z,Saudi Arabia vs. Uruguay,draw,team1_win,NO Saudi Arabia,True,13.012086014754365,-195.6392385665538
NO Elo underdog,16,2026-06-16T01:00:00Z,IR Iran vs. New Zealand,draw,team2_win,NO New Zealand,True,23.211718803477343,-172.42751976307645
NO Elo underdog,17,2026-06-16T19:00:00Z,France vs. Senegal,team1_win,team2_win,NO Senegal,True,14.635078333970174,-157.79244142910628
NO Elo underdog,18,2026-06-16T22:00:00Z,Iraq vs. Norway,team1_win,team1_win,NO Iraq,True,-100.0,-257.79244142910625
NO Elo underdog,19,2026-06-17T01:00:00Z,Argentina vs. Algeria,team1_win,team2_win,NO Algeria,True,13.410830734335132,-244.38161069477115
NO Elo underdog,20,2026-06-17T04:00:00Z,Austria vs. Jordan,team1_win,team2_win,NO Jordan,True,11.815132314573251,-232.5664783801979
NO Elo underdog,21,2026-06-17T17:00:00Z,Portugal vs. DR Congo,draw,team2_win,NO DR Congo,True,8.108108108108091,-224.4583702720898
NO Elo underdog,22,2026-06-17T20:00:00Z,England vs. Croatia,team1_win,team2_win,NO Croatia,True,20.988069232061846,-203.47030104002795
NO Elo underdog,23,2026-06-17T23:00:00Z,Ghana vs. Panama,team1_win,team1_win,NO Ghana,True,-100.0,-303.47030104002795
NO Elo underdog,24,2026-06-18T02:00:00Z,Uzbekistan vs. Colombia,team1_win,team1_win,NO Uzbekistan,True,-100.0,-403.47030104002795
NO Elo underdog,25,2026-06-18T16:00:00Z,Czechia vs. South Africa,draw,team2_win,NO South Africa,True,25.698324022346377,-377.7719770176816
NO Elo underdog,26,2026-06-18T19:00:00Z,Switzerland vs. Bosnia-Herzegovina,team1_win,team2_win,NO Bosnia-Herzegovina,True,17.141741507223717,-360.63023551045785
NO Elo underdog,27,2026-06-18T22:00:00Z,Canada vs. Qatar,team1_win,team2_win,NO Qatar,True,9.147136403601852,-351.483099106856
NO Elo underdog,28,2026-06-19T01:00:00Z,Mexico vs. Korea Republic,team1_win,team2_win,NO Korea Republic,True,31.028207461328485,-320.45489164552754
NO Elo underdog,29,2026-06-19T19:00:00Z,United States vs. Australia,team1_win,team1_win,NO United States,True,-100.0,-420.4548916455275
NO Elo underdog,30,2026-06-19T22:00:00Z,Scotland vs. Morocco,team1_win,team1_win,NO Scotland,True,-100.0,-520.4548916455275
NO Elo underdog,31,2026-06-20T00:30:00Z,Brazil vs. Haiti,team1_win,team2_win,NO Haiti,True,4.3693049874032,-516.0855866581243
NO Elo underdog,32,2026-06-20T03:00:00Z,Türkiye vs. Paraguay,team1_win,team2_win,NO Paraguay,True,32.01804246580367,-484.06754419232067
NO Elo underdog,33,2026-06-20T17:00:00Z,Netherlands vs. Sweden,team1_win,team2_win,NO Sweden,True,24.95227517267713,-459.1152690196435
NO Elo underdog,34,2026-06-20T20:00:00Z,Germany vs. Côte d'Ivoire,team1_win,team2_win,NO Côte d'Ivoire,True,16.59541391371937,-442.51985510592414
NO Elo underdog,35,2026-06-21T00:00:00Z,Ecuador vs. Curaçao,draw,team2_win,NO Curaçao,True,5.380555531161901,-437.1392995747622
NO Elo underdog,36,2026-06-21T04:00:00Z,Tunisia vs. Japan,team1_win,team1_win,NO Tunisia,True,-100.0,-537.1392995747623
NO Elo underdog,37,2026-06-21T16:00:00Z,Spain vs. Saudi Arabia,team1_win,team2_win,NO Saudi Arabia,True,3.8566893083865628,-533.2826102663757
NO Elo underdog,38,2026-06-21T19:00:00Z,Belgium vs. IR Iran,draw,team2_win,NO IR Iran,True,13.203987295996988,-520.0786229703787
NO Elo underdog,39,2026-06-21T22:00:00Z,Uruguay vs. Cabo Verde,draw,team2_win,NO Cabo Verde,True,10.967264656926211,-509.11135831345246
NO Elo underdog,40,2026-06-22T01:00:00Z,New Zealand vs. Egypt,team1_win,team1_win,NO New Zealand,True,-100.0,-609.1113583134525
NO Elo underdog,41,2026-06-22T17:00:00Z,Argentina vs. Austria,team1_win,team2_win,NO Austria,True,12.82437006393382,-596.2869882495187
NO Elo underdog,42,2026-06-22T21:00:00Z,France vs. Iraq,team1_win,team2_win,NO Iraq,True,2.616141519060955,-593.6708467304577
NO Elo underdog,43,2026-06-23T00:00:00Z,Norway vs. Senegal,team1_win,team2_win,NO Senegal,True,44.439094848338925,-549.2317518821188
NO Elo underdog,44,2026-06-23T03:00:00Z,Jordan vs. Algeria,team1_win,team1_win,NO Jordan,True,-100.0,-649.2317518821188
NO Elo underdog,45,2026-06-23T17:00:00Z,Portugal vs. Uzbekistan,team1_win,team2_win,NO Uzbekistan,True,4.712041884816753,-644.519709997302
NO Elo underdog,46,2026-06-23T20:00:00Z,England vs. Ghana,draw,team2_win,NO Ghana,True,5.658605306409936,-638.8611046908921
NO Elo underdog,47,2026-06-23T23:00:00Z,Panama vs. Croatia,team1_win,team1_win,NO Panama,True,-100.0,-738.861104690892
NO Elo underdog,48,2026-06-24T02:00:00Z,Colombia vs. DR Congo,team1_win,team2_win,NO DR Congo,True,15.462330414702198,-723.3987742761899
